x,y
-0.716991634024066,-0.406788144742102
-0.138018886476959,-0.618218752563213
-0.0173535014406756,-0.640975986752928
0.0332328477175104,-0.648484992944721
0.0680491003586927,-0.645651735964296
0.339427341002833,-0.550338768399778
0.431708932263248,-0.513687327427818
0.679371778858415,-0.370636603008291
0.690542138825858,-0.3606997308082
0.696540325251198,-0.34374047452857
0.231027863772451,0.654050108420013
0.223499756002082,0.667479751199883
0.164210300364416,0.717380241875859
-0.708326774562041,0.517482743573609
-0.727263909597181,0.49605950333532
-0.739749288153366,0.480967010387166
-0.749386437569004,0.434094967324691
-0.716991634024066,-0.406788144742102
