name,mean_thickness,thick_out,thick_int,thick_equi,area,per_out,per_int,per_env,per_equi
1_1000,0.0140088620885361,0.0134930380440741,0.0114911297852474,0.0174616912599319,0.24614,18.242,21.42,5.224,14.096
1_250,0.0273099599465955,0.0321426474904608,0.0230936313791649,0.0365520694259012,0.21902,6.814,9.484,4.114,5.992
2_1000,0.0129212269358146,0.0123399155347563,0.0102512801062014,0.0170493612994796,0.21622,17.522,21.092,5.242,12.682
2_250,0.0279871955599086,0.0311070131321598,0.0238500428449015,0.0363473718576559,0.222664,7.158,9.336,4.29,6.126
3_1000,0.0140263630633473,0.0135521610420367,0.0114060195335858,0.0180346675070911,0.228896,16.89,20.068,5.32,12.692
3_250,0.0357051860672816,0.040019468560905,0.0313056184400082,0.0452855016373921,0.304228,7.602,9.718,4.738,6.718
4_250,0.0288982986627043,0.0301535682023487,0.0240316774658027,0.0371991084695394,0.20028,6.642,8.334,3.764,5.384
5_250,0.024346671270718,0.0283836422477199,0.0206675235646958,0.0333135359116022,0.192952,6.798,9.336,4.102,5.792
