x,y
-0.680633353521341,0.260010400414574
-0.393448684597758,-0.756119457485199
-0.371721670754749,-0.81905495094303
-0.332534724140838,-0.87267080368618
-0.304222210833475,-0.869669957568003
0.616926758372975,-0.610351565104031
0.64136049260352,-0.575135016405127
0.657647079545191,-0.538485140761454
0.663653477700273,-0.513255207946488
0.666658612747696,0.50748115134279
0.664842195628648,0.583845690300251
-0.537186935783324,0.424357058338475
-0.664012806179497,0.39249118479351
-0.681606488712994,0.37666686334627
-0.692828979056533,0.307486354514775
-0.680633353521341,0.260010400414574
